"108年06月27日 信用交易統計"
"項目","買進","賣出","現金(券)償還","前日餘額","今日餘額",
"融資(交易單位)","187,901","218,715","3,472","7,155,252","7,120,966",
"融券(交易單位)","16,831","24,723","1,854","450,785","456,823",
"融資金額(仟元)","4,422,124","4,855,295","72,792","123,032,151","122,526,188",
"108年06月27日 融資融券彙總 (全部)"
,,"融資",,,,,,"融券",,,,,,,,
"股票代號","股票名稱","買進","賣出","現金償還","前日餘額","今日餘額","限額","買進","賣出","現券償還","前日餘額","今日餘額","限額","資券互抵","註記",
"1102","亞泥","80","539","1","2,487","2,027","840,361","114","67","1","343","295","840,361","1","",
"1103","嘉泥","226","105","0","2,903","3,024","193,695","0","1","0","26","27","193,695","0","",
"1104","環泥","5","13","5","1,271","1,258","163,402","0","0","0","0","0","163,402","0","",
"1108","幸福","0","43","0","1,037","994","101,184","0","0","0","0","0","101,184","0","",
"1109","信大","202","38","0","3,797","3,961","85,489","14","1","0","248","235","85,489","1","",
"1110","東泥","0","5","0","996","991","143,000","0","0","0","0","0","143,000","0","",
"1201","味全","944","795","0","13,879","14,028","126,515","233","37","0","1,149","953","126,515","33","",
"1203","味王","0","0","0","660","660","60,000","0","0","0","1","1","60,000","0","",
"1210","大成","209","233","2","4,437","4,411","196,985","9","27","0","110","128","196,985","9","",
"1215","卜蜂","453","374","0","2,510","2,589","66,997","184","31","1","537","383","66,997","27","",
"1216","統一","116","66","0","1,098","1,148","1,420,503","6","4","0","129","127","1,420,503","2","",
"1217","愛之味","60","244","0","4,410","4,226","123,628","0","0","0","2","2","123,628","2","",
"1218","泰山","138","174","0","2,709","2,673","124,999","20","2","0","95","77","124,999","2","",
"1219","福壽","9","5","0","1,257","1,261","80,503","0","0","0","0","0","80,503","0","",
"1220","台榮","2","1","0","875","876","44,269","0","0","0","0","0","44,269","0","",
"1225","福懋油","3","0","0","9,021","9,024","54,675","1","0","0","1","0","54,675","0","",
"1227","佳格","17","64","0","1,115","1,068","228,772","0","0","0","14","14","228,772","0","",
"1229","聯華","47","69","1","1,750","1,727","263,033","2","0","0","13","11","263,033","0","",
"1231","聯華食","1","10","0","198","189","41,570","0","0","0","11","11","41,570","0","",
"1232","大統益","14","12","0","132","134","39,993","0","0","0","1","1","39,993","0","",
"1233","天仁","6","0","1","17","22","22,647","0","0","0","0","0","22,647","0","",
"1234","黑松","0","0","0","35","35","100,467","0","0","0","0","0","100,467","0","",
"1235","興泰","2","0","0","10,226","10,228","21,990","0","0","0","0","0","21,990","0","",
"1236","宏亞","0","0","0","62","62","27,085","0","0","0","0","0","27,085","0","",
"1256","鮮活果汁-KY","16","18","1","691","688","7,691","0","0","0","0","0","7,691","0","",
"1262","綠悅-KY","6","9","0","2,645","2,642","40,837","0","0","0","129","129","40,837","0","",
"1301","台塑","40","88","1","649","600","1,591,435","0","0","0","0","0","1,591,435","0","X",
"1303","南亞","60","32","1","1,885","1,912","1,982,705","1","0","0","1","0","1,982,705","0","X",
"1304","台聚","11","22","18","6,184","6,155","297,190","1","0","0","1","0","297,190","0","",
"1305","華夏","416","247","0","9,373","9,542","126,689","5","15","0","90","100","126,689","3","",
"1307","三芳","1","0","0","190","191","99,454","0","0","0","0","0","99,454","0","X",
"1308","亞聚","16","27","1","2,446","2,434","138,595","0","0","0","3","3","138,595","0","",
"1309","台達化","99","73","0","10,301","10,327","81,912","0","1","0","1","2","81,912","1","",
"1310","台苯","218","59","0","5,375","5,534","131,967","6","0","0","163","157","131,967","0","",
"1312","國喬","318","159","1","18,577","18,735","226,655","0","7","0","38","45","226,655","0","",
"1313","聯成","32","47","1","9,702","9,686","323,458","0","40","0","1","41","323,458","0","",
"1314","中石化","2,762","1,837","10","92,261","93,176","674,964","0","166","0","0","166","674,964","7","",
"1315","達新","0","0","0","127","127","49,500","0","0","0","0","0","49,500","0","X",
"1316","上曜","35","53","109","4,829","4,702","44,770","0","0","0","0","0","44,770","0","",
"1319","東陽","46","178","0","7,252","7,120","147,869","10","9","0","41","40","147,869","0","",
"1321","大洋","6","56","0","2,093","2,043","56,807","0","0","0","19","19","56,807","0","",
"1323","永裕","3","0","6","4,389","4,386","22,818","0","0","0","0","0","22,818","0","",
"1324","地球","0","5","0","3,055","3,050","18,780","0","0","0","0","0","18,780","0","",
"1325","恆大","6","5","0","3,901","3,902","21,320","0","0","0","0","0","21,320","0","",
"1326","台化","17","229","3","1,466","1,251","1,465,296","0","6","0","12","18","1,465,296","0","",
"1337","再生-KY","91","24","13","9,340","9,394","67,238","0","0","0","19","19","67,238","1","",
"1338","廣華-KY","5","3","1","2,946","2,947","20,960","0","0","0","1","1","20,960","0","",
"1339","昭輝","3","7","0","404","400","18,534","0","0","0","0","0","18,534","0","",
"1340","勝悅-KY","29","25","0","3,427","3,431","34,755","0","0","0","1","1","34,755","0","",
"1402","遠東新","461","274","3","6,982","7,166","1,338,218","16","5","0","79","68","1,338,218","0","",
"1409","新纖","80","203","0","9,848","9,725","404,602","0","5","0","256","261","404,602","0","",
"1410","南染","0","0","0","625","625","18,000","0","0","0","0","0","18,000","0","",
"1413","宏洲","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1414","東和","2","0","0","2,254","2,256","55,000","0","0","0","0","0","55,000","0","",
"1416","廣豐","9","12","1","2,230","2,226","46,335","0","0","0","0","0","46,335","0","",
"1417","嘉裕","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1418","東華","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1419","新紡","0","2","0","76","74","75,010","0","0","0","0","0","75,010","0","",
"1423","利華","0","0","0","6,968","6,968","34,600","0","0","0","0","0","34,600","0","",
"1432","大魯閣","0","93","10","4,971","4,868","0","0","0","0","8","8","0","0","OX",
"1434","福懋","13","13","0","296","296","421,166","0","0","0","2","2","421,166","0","",
"1435","中福","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1436","華友聯","4","2","0","313","315","19,923","0","0","0","0","0","19,923","0","",
"1437","勤益控","29","197","0","1,417","1,249","50,842","4","0","0","4","0","50,842","0","X",
"1438","裕豐","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1439","中和","4","4","0","6,778","6,778","23,000","0","0","0","47","47","23,000","0","",
"1440","南紡","17","108","0","6,006","5,915","414,203","0","0","0","5","5","414,203","0","",
"1441","大東","47","9","0","3,030","3,068","15,241","0","0","0","0","0","15,241","0","",
