"108年06月27日 信用交易統計"
"項目","買進","賣出","現金(券)償還","前日餘額","今日餘額",
"融資(交易單位)","187,901","218,715","3,472","7,155,252","7,120,966",
"融券(交易單位)","16,831","24,723","1,854","450,785","456,823",
"融資金額(仟元)","4,422,124","4,855,295","72,792","123,032,151","122,526,188",
"108年06月27日 融資融券彙總 (全部)"
,,"融資",,,,,,"融券",,,,,,,,
"股票代號","股票名稱","買進","賣出","現金償還","前日餘額","今日餘額","限額","買進","賣出","現券償還","前日餘額","今日餘額","限額","資券互抵","註記",
"2889","國票金","5","45","0","3,149","3,109","704,966","0","0","0","17","17","704,966","0","",
"2890","永豐金","135","17","2","3,993","4,109","2,817,763","0","0","0","12","12","2,817,763","0","",
"2891","中信金","2,133","490","2","10,190","11,831","4,874,247","0","1","0","63","64","4,874,247","1","",
"2892","第一金","26","12","1","2,126","2,139","3,084,639","2","0","0","188","186","3,084,639","0","",
"2897","王道銀行","56","177","0","2,523","2,402","603,251","0","0","0","80","80","603,251","0","",
"2901","欣欣","2","5","0","2,446","2,443","18,260","0","0","0","0","0","18,260","0","",
"2903","遠百","1,016","425","0","3,987","4,578","354,235","146","111","0","514","479","354,235","47","",
"2904","匯僑","0","1","1","11","9","17,258","0","0","0","0","0","17,258","0","",
"2905","三商","25","2","0","4,574","4,597","206,670","0","0","0","1","1","206,670","0","",
"2906","高林","0","0","5","622","617","52,277","0","0","0","2","2","52,277","0","",
"2908","特力","10","0","0","7,728","7,738","127,471","0","0","0","10","10","127,471","2","",
"2910","統領","0","1","0","63","62","52,181","0","0","0","0","0","52,181","0","",
"2911","麗嬰房","25","2","0","1,902","1,925","49,081","0","0","0","0","0","49,081","0","",
"2912","統一超","14","14","0","762","762","259,905","0","0","0","5","5","259,905","1","",
"2913","農林","161","244","0","15,127","15,044","176,687","2","125","0","5","128","176,687","0","",
"2915","潤泰全","128","65","1","5,281","5,343","141,215","2","1","0","49","48","141,215","0","",
"2929","淘帝-KY","69","7","2","2,729","2,789","20,661","0","0","0","13","13","20,661","0","",
"2936","客思達-KY","1","5","0","204","200","19,138","0","0","0","0","0","19,138","0","",
"2939","凱羿-KY","10","4","1","1,332","1,337","11,805","0","0","0","5","5","11,805","0","",
"3002","歐格","7","2","0","4,352","4,357","25,500","0","0","0","0","0","25,500","0","",
"3003","健和興","104","121","0","2,764","2,747","38,913","0","0","0","0","0","38,913","0","",
"3004","豐達科","35","37","0","3,921","3,919","13,161","0","0","0","10","10","13,161","0","",
"3005","神基","148","84","1","2,792","2,855","144,880","8","1","0","76","69","144,880","1","X",
"3006","晶豪科","181","147","3","8,008","8,039","71,439","3","0","0","3","0","71,439","0","X",
"3008","大立光","42","115","1","846","772","33,535","0","6","0","40","46","33,535","0","",
"3010","華立","39","31","2","789","795","57,847","0","0","0","0","0","57,847","0","X",
"3011","今皓","36","1","0","3,341","3,376","28,179","0","0","0","2","2","28,179","0","",
"3013","晟銘電","5","78","10","6,345","6,262","40,733","0","0","0","42","42","40,733","0","",
"3014","聯陽","18","28","1","1,455","1,444","40,273","0","0","0","12","12","40,273","0","",
"3015","全漢","0","3","0","1,992","1,989","48,065","0","0","0","3","3","48,065","0","",
"3016","嘉晶","340","234","4","10,747","10,849","68,600","282","0","0","287","5","68,600","0","X",
"3017","奇鋐","2,277","1,477","0","23,085","23,885","88,327","661","142","1","4,814","4,294","88,327","38","",
"3018","同開","11","2","8","4,846","4,847","16,132","1","6","0","49","54","16,132","0","",
"3019","亞光","2,667","1,902","0","18,409","19,174","70,270","183","77","0","495","389","70,270","62","X",
"3021","鴻名","0","51","0","2,175","2,124","23,953","0","0","0","0","0","23,953","0","",
"3022","威強電","3","4","1","5,702","5,700","73,870","0","0","0","1","1","73,870","0","",
"3023","信邦","61","56","1","1,014","1,018","57,269","1","0","0","14","13","57,269","0","",
"3024","憶聲","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3025","星通","7","3","0","4,848","4,852","17,730","0","0","0","15","15","17,730","0","",
"3026","禾伸堂","132","95","1","7,159","7,195","39,497","3","0","9","294","282","39,497","0","",
"3027","盛達","8","11","0","3,721","3,718","24,714","0","0","0","5","5","24,714","0","",
"3028","增你強","0","17","1","1,833","1,815","53,456","0","0","0","0","0","53,456","0","",
"3029","零壹","687","516","0","9,016","9,187","30,827","0","0","0","0","0","30,827","0","",
"3030","德律","24","29","1","2,505","2,499","59,054","6","5","0","50","49","59,054","0","",
"3031","佰鴻","39","22","10","2,262","2,269","46,668","0","0","0","3","3","46,668","0","",
"3032","偉訓","41","10","21","2,126","2,136","25,821","0","0","0","0","0","25,821","0","",
"3033","威健","18","6","1","1,429","1,440","86,496","0","33","71","216","178","86,496","0","",
"3034","聯詠","303","211","1","4,027","4,118","152,127","35","7","0","273","245","152,127","1","",
"3035","智原","399","363","3","8,219","8,252","62,137","116","10","0","506","400","62,137","5","",
"3036","文曄","133","100","68","7,576","7,541","147,030","0","3","107","131","27","147,030","0","",
"3037","欣興","5,520","5,471","0","30,237","30,286","376,199","484","1,047","0","9,648","10,211","376,199","98","",
"3038","全台","670","439","0","11,404","11,635","40,601","22","0","0","33","11","40,601","0","X",
"3040","遠見","3","0","0","380","383","15,750","0","0","0","0","0","15,750","0","X",
"3041","揚智","166","158","0","12,591","12,599","75,647","0","0","0","452","452","75,647","1","",
"3042","晶技","25","12","1","2,095","2,107","77,439","4","0","0","38","34","77,439","0","",
"3043","科風","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3044","健鼎","309","125","1","1,356","1,539","131,401","13","0","0","104","91","131,401","1","",
"3045","台灣大","0","0","0","44","44","860,680","0","0","0","0","0","860,680","0","",
"3046","建碁","0","1","0","925","924","8,315","0","0","0","4","4","8,315","0","",
"3047","訊舟","135","143","0","18,105","18,097","46,622","0","1","0","72","73","46,622","0","",
"3048","益登","39","6","0","2,059","2,092","55,643","1","0","0","1","0","55,643","0","",
"3049","和鑫","844","676","1","41,165","41,332","139,714","162","138","0","6,732","6,708","139,714","16","",
"3050","鈺德","176","32","0","6,535","6,679","36,496","0","0","0","4","4","36,496","0","",
"3051","力特","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3052","夆典","54","49","0","5,247","5,252","57,178","0","0","0","0","0","57,178","0","",
"3054","立萬利","6","10","0","3,764","3,760","22,128","0","0","0","1","1","22,128","0","",
"3055","蔚華科","4","3","0","4,950","4,951","25,876","0","0","0","4","4","25,876","0","",
"3056","總太","147","721","3","1,956","1,379","52,303","0","54","0","0","54","52,303","0","",
"3057","喬鼎","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3058","立德","24","2","0","2,675","2,697","41,891","0","0","0","0","0","41,891","0","",
"3059","華晶科","84","167","0","14,997","14,914","68,502","2","3","0","505","506","68,502","1","",
"3060","銘異","18","4","0","4,595","4,609","34,840","0","0","0","274","274","34,840","0","",
"3062","建漢","26","75","2","7,065","7,014","82,151","2","2","0","20","20","82,151","2","",
"3090","日電貿","90","204","2","8,514","8,398","44,664","13","9","0","103","99","44,664","3","",
"3094","聯傑","6","12","0","2,391","2,385","21,163","0","0","0","0","0","21,163","0","",
"3130","一零四","0","0","1","1","0","8,297","0","0","0","0","0","8,297","0","X",
"3149","正達","0","0","0","1","1","0","0","0","0","0","0","0","0","OX",
"3164","景岳","22","31","0","5,789","5,780","22,227","0","0","0","0","0","22,227","0","",
"3167","大量","15","7","1","1,724","1,731","20,033","11","0","0","162","151","20,033","1","",
"3189","景碩","432","214","11","16,912","17,119","112,825","8","9","0","862","863","112,825","1","",
"3209","全科","5","6","0","1,206","1,205","42,381","1","5","0","5","9","42,381","0","",
"3229","晟鈦","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3231","緯創","399","202","1","15,793","15,989","710,530","5","10","0","1,105","1,110","710,530","9","",
"3257","虹冠電","11","4","0","3,061","3,068","17,345","0","0","0","81","81","17,345","0","",
"3266","昇陽","1","0","0","2,731","2,732","88,078","0","0","0","7","7","88,078","0","",
"3296","勝德","16","32","0","7,413","7,397","24,556","0","0","0","1","1","24,556","0","X",
"3305","昇貿","2","3","2","1,176","1,173","30,372","0","0","0","2","2","30,372","0","",
"3308","聯德","0","4","0","388","384","0","0","0","0","0","0","0","0","OX",
"3311","閎暉","34","7","0","3,762","3,789","44,845","0","1","0","13","14","44,845","1","",
"3312","弘憶股","429","207","0","8,086","8,308","27,577","0","0","0","5","5","27,577","2","",
"3321","同泰","0","0","0","117","117","0","0","0","0","0","0","0","0","OX",
"3338","泰碩","1,086","751","1","9,029","9,363","21,620","655","188","14","1,728","1,247","21,620","12","X",
"3346","麗清","22","50","0","2,064","2,036","18,946","15","0","0","151","136","18,946","0","",
"3356","奇偶","96","278","0","3,362","3,180","22,415","16","9","0","156","149","22,415","0","",
"3376","新日興","28","85","0","5,522","5,465","44,747","0","16","0","112","128","44,747","0","",
"3380","明泰","91","166","3","9,219","9,141","110,815","7","10","0","1,157","1,160","110,815","4","",
"3383","新世紀","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3406","玉晶光","1,617","1,516","0","9,824","9,925","25,199","386","777","0","3,716","4,107","25,199","75","",
"3413","京鼎","25","11","0","2,500","2,514","20,671","21","1","0","138","118","20,671","0","",
"3416","融程電","0","0","0","1,398","1,398","15,045","0","0","0","0","0","15,045","0","",
"3419","譁裕","68","70","0","6,660","6,658","30,120","0","0","0","97","97","30,120","0","",
"3432","台端","2","28","0","2,271","2,245","16,646","0","0","0","1","1","16,646","0","",
"3437","榮創","21","29","0","7,169","7,161","36,137","5","7","0","441","443","36,137","1","",
"3443","創意","304","381","0","6,585","6,508","33,502","55","25","1","1,228","1,197","33,502","1","",
"3450","聯鈞","126","73","1","6,248","6,300","36,420","15","8","100","254","147","36,420","1","",
"3454","晶睿","79","77","0","2,819","2,821","21,119","14","3","0","82","71","21,119","0","",
"3481","群創","6,604","8,077","137","252,687","251,077","2,488,017","155","32","0","1,416","1,293","2,488,017","59","",
"3494","誠研","0","0","0","785","785","0","0","0","0","0","0","0","0","OX",
"3501","維熹","1","3","1","887","884","29,564","0","0","0","0","0","29,564","0","",
"3504","揚明光","461","365","0","8,048","8,144","28,514","60","50","0","1,541","1,531","28,514","7","",
"3515","華擎","102","106","1","1,401","1,396","30,174","0","11","0","0","11","30,174","0","",
"3518","柏騰","147","56","69","4,869","4,891","20,188","27","2","0","145","120","20,188","8","",
"3528","安馳","1","1","1","55","54","16,399","0","0","0","55","55","16,399","0","X",
"3530","晶相光","91","68","0","2,055","2,078","19,506","0","2","0","5","7","19,506","0","X",
"3532","台勝科","150","46","0","2,440","2,544","96,962","104","22","1","802","719","96,962","1","",
"3533","嘉澤","93","31","0","3,755","3,817","25,869","13","3","0","226","216","25,869","1","",
"3535","晶彩科","703","783","0","11,555","11,475","19,763","63","361","0","6,096","6,394","19,763","3","",
"3536","誠創","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3545","敦泰","124","121","10","17,231","17,224","74,854","36","28","0","922","914","74,854","0","",
"3550","聯穎","1","11","0","4,732","4,722","21,250","0","0","0","2","2","21,250","0","",
"3557","嘉威","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3563","牧德","60","35","0","1,542","1,567","10,652","6","9","0","33","36","10,652","1","",
"3576","聯合再生","0","120","0","26,427","26,307","0","0","0","0","0","0","0","0","OX",
"3583","辛耘","26","25","0","3,401","3,402","20,284","0","0","0","7","7","20,284","0","",
"3588","通嘉","25","62","0","2,404","2,367","11,723","0","0","0","0","0","11,723","0","",
"3591","艾笛森","11","1","0","5,227","5,237","30,750","3","7","0","38","42","30,750","0","",
"3593","力銘","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3596","智易","260","200","0","7,247","7,307","48,388","34","33","0","1,206","1,205","48,388","5","",
"3605","宏致","49","14","0","4,593","4,628","30,598","0","0","0","0","0","30,598","0","",
"3607","谷崧","53","26","0","2,266","2,293","30,415","0","0","0","6","6","30,415","0","X",
"3617","碩天","1","7","1","356","349","20,237","0","0","0","3","3","20,237","0","",
"3622","洋華","28","52","0","5,479","5,455","37,831","0","0","0","13","13","37,831","0","",
"3645","達邁","80","56","0","6,153","6,177","29,869","2","0","0","481","479","29,869","0","",
"3653","健策","164","221","0","4,885","4,828","30,121","38","10","0","957","929","30,121","2","",
"3661","世芯-KY","655","741","1","6,811","6,724","15,046","104","38","0","882","816","15,046","44","",
"3665","貿聯-KY","93","113","0","3,370","3,350","29,629","8","4","0","288","284","29,629","0","",
"3669","圓展","6","3","0","962","965","23,229","0","0","0","0","0","23,229","0","",
"3673","TPK-KY","149","182","1","27,271","27,237","101,665","39","213","1","1,804","1,977","101,665","0","",
"3679","新至陞","0","0","1","134","133","15,574","0","0","0","0","0","15,574","0","",
"3682","亞太電","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3686","達能","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"3694","海華","4","8","0","2,813","2,809","33,296","0","7","0","12","19","33,296","0","",
"3698","隆達","12","156","15","13,280","13,121","109,107","1","18","0","14","31","109,107","0","",
"3702","大聯大","3","5","1","1,586","1,583","419,764","1","0","0","3","2","419,764","0","",
"3703","欣陸","179","307","0","6,024","5,896","205,803","5","0","0","16","11","205,803","0","",
"3704","合勤控","1,879","911","0","22,411","23,379","110,294","230","676","0","2,156","2,602","110,294","12","",
"3705","永信","86","14","1","898","969","66,605","0","0","0","0","0","66,605","0","",
"3706","神達","141","71","1","4,813","4,882","234,191","27","16","0","202","191","234,191","0","",
"3708","上緯投控","264","354","2","8,878","8,786","23,376","69","43","2","141","113","23,376","0","",
"3711","日月光投控","82","522","0","5,648","5,208","1,080,941","78","23","0","1,019","964","1,080,941","5","",
"3712","永崴投控","52","8","201","5,341","5,184","61,560","0","0","0","162","162","61,560","0","",
"4104","佳醫","2","7","2","1,119","1,112","32,037","0","0","0","7","7","32,037","0","",
"4106","雃博","19","7","0","2,174","2,186","20,846","0","0","0","0","0","20,846","0","",
"4108","懷特","0","0","0","1,423","1,423","0","0","0","0","0","0","0","0","OX",
"4119","旭富","155","271","0","4,118","4,002","19,871","0","1","0","49","50","19,871","0","",
"4133","亞諾法","1","6","0","1,036","1,031","15,138","0","0","0","0","0","15,138","0","",
"4137","麗豐-KY","29","12","5","1,329","1,341","19,873","1","1","0","36","36","19,873","0","",
"4141","龍燈-KY","6","11","1","2,226","2,220","37,977","0","0","0","0","0","37,977","0","",
"4142","國光生","0","0","0","110","110","0","0","0","0","0","0","0","0","OX",
"4144","康聯-KY","5","7","0","2,501","2,499","19,284","0","0","0","1","1","19,284","1","",
"4148","全宇生技-KY","2","0","0","1,283","1,285","16,008","4","0","0","7","3","16,008","0","X",
"4155","訊映","55","50","0","598","603","18,862","0","0","0","0","0","18,862","0","",
"4164","承業醫","389","246","0","5,812","5,955","35,096","8","7","0","37","36","35,096","0","",
"4190","佐登-KY","192","114","0","2,502","2,580","15,249","6","2","0","133","129","15,249","0","",
"4306","炎洲","96","121","0","8,547","8,522","132,515","31","0","0","161","130","132,515","0","",
"4414","如興","159","127","0","34,065","34,097","223,858","11","5","0","77","71","223,858","2","",
"4426","利勤","90","155","0","5,750","5,685","37,149","8","1","0","149","142","37,149","1","",
"4438","廣越","98","13","0","1,075","1,160","25,843","10","0","0","11","1","25,843","0","",
"4526","東台","1","4","0","2,528","2,525","63,706","0","0","0","0","0","63,706","0","",
"4532","瑞智","6","9","0","865","862","126,503","0","0","0","0","0","126,503","0","X",
"4536","拓凱","169","112","0","644","701","22,705","0","7","0","17","24","22,705","1","",
"4540","全球傳動","19","20","0","1,740","1,739","24,169","11","0","0","112","101","24,169","0","",
"4545","銘鈺","7","0","0","2,799","2,806","19,250","0","0","0","0","0","19,250","0","X",
"4551","智伸科","63","106","0","800","757","20,483","7","0","0","43","36","20,483","0","",
"4552","力達-KY","17","2","0","2,015","2,030","25,000","0","0","0","42","42","25,000","0","",
"4555","氣立","1","12","0","293","282","16,720","0","0","0","0","0","16,720","0","",
"4557","永新-KY","42","8","1","1,054","1,087","8,652","0","0","0","0","0","8,652","0","X",
"4560","強信-KY","0","0","0","699","699","16,572","0","0","0","35","35","16,572","0","",
"4562","穎漢","0","0","0","21","21","16,886","0","0","0","0","0","16,886","0","",
"4566","時碩工業","2","34","0","933","901","16,664","1","4","0","1","4","16,664","0","",
"4720","德淵","0","17","0","173","156","22,144","0","0","0","0","0","22,144","0","",
"4722","國精化","3","0","0","124","127","25,002","0","0","0","1","1","25,002","0","",
"4725","信昌化","32","25","4","8,450","8,453","72,993","5","7","0","283","285","72,993","0","",
"4737","華廣","4","0","0","308","312","14,861","0","0","0","0","0","14,861","0","",
"4739","康普","83","86","1","4,542","4,538","22,469","28","8","24","276","232","22,469","1","",
"4746","台耀","8","4","0","2,186","2,190","24,753","0","0","0","6","6","24,753","0","",
"4755","三福化","1","0","0","231","232","22,676","0","0","0","0","0","22,676","0","X",
"4763","材料-KY","24","4","0","2,816","2,836","11,620","0","0","0","12","12","11,620","0","",
"4764","雙鍵","1","4","1","1,145","1,141","17,451","0","0","0","2","2","17,451","0","",
"4766","南寶","11","4","0","451","458","30,142","0","0","0","0","0","30,142","0","",
"4807","日成-KY","20","8","0","673","685","9,625","0","0","0","4","4","9,625","0","",
"4904","遠傳","4","2","0","45","47","814,625","0","0","0","0","0","814,625","0","",
"4906","正文","1,458","2,857","41","15,184","13,744","89,220","26","45","0","281","300","89,220","47","",
"4912","聯德控股-KY","17","5","0","3,733","3,745","9,890","1","0","0","59","58","9,890","0","",
"4915","致伸","267","322","1","10,881","10,825","111,702","7","10","0","207","210","111,702","1","",
"4916","事欣科","24","18","4","5,632","5,634","20,569","6","0","0","8","2","20,569","0","X",
"4919","新唐","203","86","0","5,274","5,391","51,888","1","2","0","135","136","51,888","1","",
"4927","泰鼎-KY","2,054","1,224","0","13,691","14,521","46,188","60","45","0","1,560","1,545","46,188","33","",
"4930","燦星網","88","87","0","5,971","5,972","33,575","0","0","0","0","0","33,575","0","",
"4934","太極","0","1","0","5,142","5,141","0","0","0","0","0","0","0","0","OX",
"4935","茂林-KY","406","128","0","4,475","4,753","32,734","0","9","0","14","23","32,734","1","",
"4938","和碩","56","171","1","15,207","15,091","652,897","5","21","0","360","376","652,897","1","",
"4942","嘉彰","140","50","1","3,198","3,287","35,591","1","0","0","3","2","35,591","1","",
"4943","康控-KY","1,041","774","0","5,471","5,738","26,716","9","106","55","4,085","4,127","26,716","5","",
"4952","凌通","20","22","1","1,196","1,193","27,203","20","0","0","20","0","27,203","0","X",
"4956","光鋐","27","18","0","4,526","4,535","25,102","3","2","0","3","2","25,102","0","",
"4958","臻鼎-KY","229","528","0","3,544","3,245","225,557","114","37","0","839","762","225,557","4","",
"4960","誠美材","0","21","0","20,151","20,130","0","0","0","0","0","0","0","0","OX",
"4961","天鈺","18","42","2","2,466","2,440","40,709","0","0","0","2","2","40,709","0","",
"4968","立積","616","937","2","4,714","4,391","15,122","410","30","3","1,541","1,158","15,122","7","",
"4976","佳凌","276","171","0","6,417","6,522","29,342","4","42","0","478","516","29,342","8","",
"4977","眾達-KY","69","39","0","3,817","3,847","14,957","2","0","0","160","158","14,957","0","",
"4989","榮科","13","0","0","1,924","1,937","38,271","0","0","0","0","0","38,271","0","",
"4994","傳奇","46","78","0","1,916","1,884","27,659","4","8","0","89","93","27,659","1","",
"4999","鑫禾","1","1","1","433","432","18,604","0","0","0","0","0","18,604","0","",
"5007","三星","0","2","1","1,848","1,845","73,735","0","0","0","0","0","73,735","0","",
"5203","訊連","31","28","0","781","784","20,927","0","0","0","1","1","20,927","1","",
"5215","科嘉-KY","565","146","11","1,262","1,670","13,584","0","3","0","0","3","13,584","25","",
"5225","東科-KY","12","5","0","1,559","1,566","15,379","0","0","0","0","0","15,379","0","",
"5234","達興材料","35","8","1","1,680","1,706","25,678","3","0","0","17","14","25,678","0","",
"5243","乙盛-KY","14","45","6","2,531","2,494","42,132","0","0","0","40","40","42,132","1","",
"5258","虹堡","45","54","0","2,052","2,043","22,385","0","6","0","102","108","22,385","0","",
"5264","鎧勝-KY","105","106","2","10,540","10,537","105,114","24","10","0","939","925","105,114","0","",
"5269","祥碩","137","246","0","1,634","1,525","15,009","16","17","0","279","280","15,009","0","",
"5284","jpp-KY","0","0","0","498","498","9,866","0","0","0","0","0","9,866","0","",
"5285","界霖","8","21","0","6,009","5,996","21,524","9","0","0","15","6","21,524","0","",
"5288","豐祥-KY","10","4","0","1,209","1,215","16,456","7","0","0","34","27","16,456","0","",
"5305","敦南","645","908","3","9,258","8,992","78,114","18","1","0","60","43","78,114","6","",
"5388","中磊","109","137","4","5,625","5,593","61,413","11","1","0","31","21","61,413","1","X",
"5434","崇越","3","1","2","962","962","45,424","0","0","0","3","3","45,424","0","",
"5469","瀚宇博","769","741","0","20,134","20,162","112,609","217","35","0","751","569","112,609","3","",
"5471","松翰","7","1","2","850","854","41,969","0","0","0","1","1","41,969","0","",
"5484","慧友","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"5515","建國","6","11","0","4,428","4,423","83,575","0","0","0","1","1","83,575","0","",
"5519","隆大","428","668","0","8,132","7,892","48,601","155","102","489","2,816","2,274","48,601","21","",
"5521","工信","19","200","0","15,423","15,242","86,881","0","10","0","27","37","86,881","0","",
"5522","遠雄","11","0","1","816","826","201,564","0","2","0","18","20","201,564","0","",
"5525","順天","23","24","0","1,469","1,468","55,679","0","0","0","13","13","55,679","0","",
"5531","鄉林","23","1","0","11,776","11,798","243,186","0","0","0","0","0","243,186","0","",
"5533","皇鼎","0","6","3","371","362","71,311","0","0","0","0","0","71,311","0","",
"5534","長虹","18","119","1","1,074","972","72,581","0","0","0","17","17","72,581","0","",
"5538","東明-KY","0","0","0","29","29","42,000","0","0","0","0","0","42,000","0","",
"5607","遠雄港","26","29","0","3,265","3,262","42,494","0","0","0","10","10","42,494","0","",
"5608","四維航","5","28","0","6,820","6,797","69,816","0","0","0","1","1","69,816","0","",
"5706","鳳凰","0","1","0","89","88","15,265","0","0","0","1","1","15,265","0","",
"5871","中租-KY","34","107","0","2,990","2,917","322,378","4","1","0","97","94","322,378","0","",
"5876","上海商銀","61","149","5","2,160","2,067","1,025,400","4","0","0","96","92","1,025,400","0","",
"5880","合庫金","1","30","2","2,947","2,916","3,142,196","0","0","0","23","23","3,142,196","0","",
"5906","台南-KY","0","3","0","213","210","3,750","0","0","0","0","0","3,750","0","",
"5907","大洋-KY","316","519","0","6,989","6,786","48,882","1","0","0","20","19","48,882","2","",
"6005","群益證","69","12","0","4,852","4,909","580,227","0","0","0","1","1","580,227","0","",
"6024","群益期","1","1","1","625","624","44,109","0","0","0","0","0","44,109","0","",
"6108","競國","43","68","0","4,135","4,110","39,974","45","0","0","53","8","39,974","0","",
"6112","聚碩","42","6","1","1,275","1,310","27,808","0","0","0","0","0","27,808","0","X",
"6115","鎰勝","0","0","2","28","26","46,915","0","0","0","0","0","46,915","0","",
"6116","彩晶","1,320","1,906","0","77,747","77,161","783,483","0","12","0","873","885","783,483","10","",
"6117","迎廣","1","0","0","518","519","22,162","0","0","0","0","0","22,162","0","",
"6120","達運","74","158","5","20,610","20,521","166,388","11","16","0","116","121","166,388","0","",
"6128","上福","0","2","1","2,209","2,206","31,897","0","0","0","0","0","31,897","0","",
"6131","悠克","0","0","0","3,011","3,011","0","0","0","0","0","0","0","0","OX",
"6133","金橋","16","25","0","3,959","3,950","29,251","0","0","0","0","0","29,251","0","",
"6136","富爾特","7","1","1","3,098","3,103","28,884","0","0","0","0","0","28,884","0","",
"6139","亞翔","1","14","101","3,119","3,005","56,385","0","0","0","3","3","56,385","0","",
"6141","柏承","471","340","0","8,601","8,732","32,491","11","90","0","100","179","32,491","1","",
"6142","友勁","0","1","40","8,454","8,413","0","0","0","0","0","0","0","0","OX",
"6152","百一","0","9","0","1,568","1,559","0","0","0","0","0","0","0","0","OX",
"6153","嘉聯益","1,342","1,306","0","32,785","32,821","99,999","98","73","0","2,233","2,208","99,999","0","",
"6155","鈞寶","19","56","0","2,949","2,912","21,572","0","0","0","20","20","21,572","0","",
"6164","華興","18","149","44","6,803","6,628","25,000","0","0","0","0","0","25,000","0","",
"6165","捷泰","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"6166","凌華","5","3","0","7,967","7,969","50,703","0","1","0","4","5","50,703","0","",
"6168","宏齊","19","38","0","5,635","5,616","51,517","0","1","0","21","22","51,517","0","",
"6172","互億","30","7","0","249","272","6,510","0","1","0","31","32","6,510","0","",
"6176","瑞儀","126","182","1","4,534","4,477","116,256","0","0","0","0","0","116,256","0","X",
"6177","達麗","1","3","1","5,292","5,289","61,134","1","0","0","84","83","61,134","0","",
"6183","關貿","0","30","0","512","482","37,500","0","0","0","0","0","37,500","0","",
"6184","大豐電","20","0","1","42","61","39,557","0","0","0","0","0","39,557","0","X",
"6189","豐藝","7","3","1","359","362","44,761","0","0","0","6","6","44,761","0","",
"6191","精成科","263","289","2","22,101","22,073","128,886","10","0","0","190","180","128,886","2","",
"6192","巨路","16","23","1","490","482","26,709","0","0","0","2","2","26,709","0","",
"6196","帆宣","7","21","1","2,727","2,712","46,422","1","0","0","85","84","46,422","0","",
"6197","佳必琪","23","80","2","3,066","3,007","30,521","0","2","0","11","13","30,521","0","",
"6201","亞弘電","0","1","1","67","65","22,300","0","0","0","0","0","22,300","0","",
"6202","盛群","40","144","4","1,846","1,738","56,542","3","2","0","60","59","56,542","1","",
"6205","詮欣","0","0","0","382","382","17,959","0","0","0","0","0","17,959","0","",
"6206","飛捷","1","0","2","471","470","35,765","0","0","0","0","0","35,765","0","",
"6209","今國光","60","117","13","9,170","9,100","40,779","45","26","0","512","493","40,779","0","",
"6213","聯茂","1,333","1,403","5","4,864","4,789","75,739","92","373","7","1,091","1,365","75,739","15","",
"6214","精誠","65","45","1","1,105","1,124","67,348","2","20","0","17","35","67,348","0","",
"6215","和椿","3","18","0","3,149","3,134","20,697","0","0","0","0","0","20,697","0","X",
"6216","居易","0","0","0","440","440","21,086","0","0","0","0","0","21,086","0","",
"6224","聚鼎","17","3","1","867","880","20,000","3","0","0","3","0","20,000","0","X",
"6225","天瀚","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"6226","光鼎","34","45","0","10,450","10,439","28,737","0","0","0","8","8","28,737","0","",
"6230","超眾","211","134","0","2,473","2,550","21,585","49","10","0","504","465","21,585","1","",
"6235","華孚","27","25","2","3,499","3,499","42,017","2","0","0","108","106","42,017","0","",
"6239","力成","21","52","2","1,834","1,801","194,786","3","0","0","83","80","194,786","0","",
"6243","迅杰","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"6251","定穎","48","43","0","7,776","7,781","70,264","0","0","0","70","70","70,264","1","",
"6257","矽格","56","40","3","8,281","8,294","97,962","0","0","0","188","188","97,962","0","",
"6269","台郡","330","462","1","10,324","10,191","79,640","10","32","0","954","976","79,640","18","",
"6271","同欣電","55","95","1","2,219","2,178","41,339","7","13","0","220","226","41,339","0","",
"6277","宏正","4","13","2","403","392","29,867","0","0","0","0","0","29,867","0","",
"6278","台表科","1,885","1,575","0","8,308","8,618","73,099","64","156","0","1,053","1,145","73,099","56","",
"6281","全國電","0","0","2","12","10","24,793","0","0","0","0","0","24,793","0","X",
"6282","康舒","102","288","0","11,177","10,991","129,155","0","1","0","59","60","129,155","5","",
"6283","淳安","1","7","66","9,540","9,468","20,415","3","0","0","91","88","20,415","0","",
"6285","啟碁","139","150","16","7,724","7,697","97,602","1","2","0","43","44","97,602","0","",
"6288","聯嘉","295","155","0","3,155","3,295","42,782","2","9","0","18","25","42,782","0","",
"6289","華上","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
